Name,AlternativeName,Description
Afghanistan,Afghanistan,"common, English"
Afghanistan,Da Afġānistān Islāmī Jumhoryat,"official, Pashto"
Afghanistan,Islamic Republic of Afghanistan,"official, English"
Afghanistan,Jomhūrīyyeh Eslāmīyyeh Afġānestān,"official, Dari"
Argentina,Argentina,"common, English"
Argentina,Argentine Confederation,"official, English"
Argentina,Argentine Nation,"official and legally preferred, English"
Argentina,Argentine Republic,"official, English"
Argentina,la Argentina,"colloquial, Spanish"
Argentina,the Argentine,"archaic, English"
Argentina,United Provinces of the Río de la Plata,"official, English"
Armenia,Armenia,"common, English"
Armenia,Hayastan,"transliterated Armenian, original: Հայաստան"
Armenia,Republic of Armenia,"official, English"
Australia,Australia,"common, English"
Australia,Commonwealth of Australia,"official, English"
Australia,New Holland,"former name, English"
Austria,Austria,"common, English"
Austria,Österreich,"common, German"
Austria,Republic of Austria,"official, English"
Austria,Republik Österreich,"official, German"
Azerbaijan,Azerbaijan,"common, English"
Azerbaijan,Azərbaycan Respublikası,"official, Azerbaijani"
Azerbaijan,Republic of Azerbaijan,"official, English"
Bahamas,Bahamas,"common, English"
Bahamas,Commonwealth of The Bahamas,"official, English"
Bahrain,Bahrain,"common, English"
Bahrain,Kingdom of Bahrain,"official, English"
Bahrain,Mamlakat al-Baḥrayn,"official, Arabic"
Bahrain,State of Bahrain,"former official, English"
Bangladesh,Bangla,alternative name meaning the geographical land of Bengal
Bangladesh,Bangladesh,"common, English"
Bangladesh,Bengal Presidency,former political name
Bangladesh,Bônggô,"Bongo, historical name for geographical area of Bengal"
Bangladesh,East Bengal,former political name
Bangladesh,East Pakistan,former political name
Bangladesh,Gônggarriddhi,ancient name for Bengal region
Bangladesh,Gônôprôjatôntri Bangladesh,long official name in Bengali
Bangladesh,People's Republic of Bangladesh,long official name in English
Bangladesh,Purbô Bônggô,former political name
Bangladesh,Purbô Pakistan,former political name
Bangladesh,গঙ্গাঋদ্ধি,ancient name for Bengal region
Bangladesh,গণপ্রজাতন্ত্রী বাংলাদেশ,long official name in Bengali
Bangladesh,পূর্ব পাকিস্তান,former political name
Bangladesh,পূর্ববঙ্গ,former political name
Bangladesh,বঙ্গ,"Bongo, historical name for geographical area of Bengal"
Bangladesh,বাংলা,alternative name meaning the geographical land of Bengal
Bangladesh,বাংলাদেশ,"common name, meaning the country of Bengal"
Barbados,Barbados,"official, English"
Barbados,Bim,nickname
Barbados,Bimshire,nickname
Barbados,Little England,nickname
Barbados,The Rock,nickname
Belarus,Belarus,"common, English"
Belarus,Byelorussia,former name
Belarus,Gudija,Lithuanian
Belarus,Republic of Belarus,"official, English"
Belarus,White Russia,outdated
Belgium,Belgium,"common, English"
Belgium,Kingdom of Belgium,"official, English"
Belgium,Königreich Belgien,"official, German"
Belgium,Koninkrijk België,"official, Dutch"
Belgium,Royaume de Belgique,"official, French"
Belize,Belize,"common, English"
Belize,British Honduras,"former, English"
Benin,Benin,"common, English"
Benin,Dahomey,former name
Benin,Republic of Benin,"official, English"
Benin,République du Bénin,"official, French"
Bhutan,Bhutan,"common, English"
Bhutan,Druk Gyal Khap,"official, Dzongkha"
Bhutan,Kingdom of Bhutan,"official, English"
Bolivia,Bolivia,"common, English"
Bolivia,Estado Plurinacional de Bolivia,"official, Spanish"
Bolivia,Plurinational State of Bolivia,"official, English"
Bolivia,Republic of Bolívar,"former official, English"
Bolivia,Republic of Bolivia,"former official, English"
Bosnia & Herzegovina,Bosnia and Herzegovina,"official, English"
Bosnia & Herzegovina,Republic of Bosnia and Herzegovina,"former official, English"
Bosnia & Herzegovina,Socialist Republic of Bosnia and Herzegovina,"former official, English"
Botswana,Bechuanaland,"former, English"
Botswana,Botswana,"common, English"
Botswana,Republic of Botswana,"official, English"
Brazil,Brazil,"common, English"
Brazil,Empire of Brazil,"former, English"
Brazil,Federative Republic of Brazil,"official, English"
Brazil,Ilha de Vera Cruz,"former, Portuguese"
Brazil,Pindorama,"in Tupi and Guarani, native languages"
Brazil,República Federativa do Brasil,"official, Portuguese"
Brazil,Terra de Santa Cruz,early Portuguese colonization
Brazil,Terra di Papaga,"former, Italian"
Brazil,United States of Brazil,"former, English"
Brunei Darussalam,Brunei,"common, English"
Brunei Darussalam,Nation of Brunei,"official name, English"
Brunei Darussalam,State of Brunei,"colonial name, English"
Brunei Darussalam,the Abode of Peace,"official name, English"
Bulgaria,Bulgaria,"common, English"
Bulgaria,People's Republic of Bulgaria,"former official, English"
Bulgaria,Republic of Bulgaria,"official, English"
Bulgaria,Republika Bǎlgariya,"official, Bulgarian"
Burkina Faso,Bourkina-Fasso,unofficial French form in the first few days after the 1984 change from Upper Volta until the government clarified the official spelling
Burkina Faso,Burkina Faso,"official, English and French"
Burkina Faso,Haute-Volta,"former name, French"
Burkina Faso,Upper Volta,"former name, English"
Burundi,Burundi,"common, English"
Burundi,Kingdom of Burundi,"former official, English"
Burundi,Republic of Burundi,"official, English"
Burundi,Republika y'Uburundi,"official, Kirundi"
Burundi,République du Burundi,"official, French"
Cambodia,Cambodia,"common, English"
Cambodia,Democratic Kampuchea,former official
Cambodia,Kampuchea,former officially sanctioned common name in the English language and transliteration from Khmer language
Cambodia,Khmer Republic,former official
Cambodia,Kingdom of Cambodia,"official, English"
Cambodia,People's Republic of Kampuchea,former official
Cambodia,Royaume du Cambodge,"official, French"
Cambodia,State of Cambodia,former official
Cameroon,Cameroon,"common, English"
Cameroon,Kamerun,"former colonial, German"
Cameroon,Republic of Cameroon,"official, English"
Cameroon,United Republic of Cameroon,"former official, English"
Canada,Acadia,French colony
Canada,Canada,"official, English and French"
Canada,Dominion du Canada,"historical long form, French"
Canada,Dominion of Canada,"historical long form, English"
Canada,Francisca,as labeled on an old map
Cape Verde,Cabo Verde,"official, Portuguese and English; the Government of Cabo Verde now uses that form for official purposes in English as well as Portuguese"
Cape Verde,Cape Verde,"common, English"
Central African Republic,Central African Empire,English
Central African Republic,Central African Republic,"official, English"
Central African Republic,Empire Centrafricain,"former official, French"
Central African Republic,Oubangui-Chari,"former, French"
Central African Republic,République Centrafricaine,"official, French"
Central African Republic,Ubangi-Shari,African
Chad,Chad,"official, English"
Chad,Jumhūrīyat Tashād,"official, Arabic"
Chad,Republic of Chad,"official, English"
Chad,République du Tchad,"official, French"
Chile,Capitania general de Chile,colonial Spanish
Chile,Chile,"common, English"
Chile,Chili,Quechua
Chile,Chilli,Mapuche
Chile,Republic of Chile,"official, English"
Chile,Reyno de Chile,colonial Spanish
China,Cathay,"obsolete, now mainly used poetically"
China,Ch'in Empire,former historical
China,China,"common, ambiguous, English"
China,Communist China,"colloquial, mainly used by Western countries"
China,Mainland China,"colloquial, refers to the area that the PRC Government administers since the end of the Chinese Civil War, English"
China,New China,"colloquial, pro-Communist"
China,People's Republic of China,"official, English"
China,PRC,"initialism, English"
China,Red China,"colloquial, mainly derogatory"
China,Shenzhou,colloquial
China,Zhongguo,the name for China in Chinese language
China,中共,"colloquial and mainly derogatory, mainly used by the ROC with a cognate used in Vietnam"
China,中华人民共和国,official
China,中国,"common, ambiguous"
China,中国大陆/中国內地,"colloquial, refers to the area that the PRC Government administers since the end of the Chinese Civil War"
China,新中国,"colloquial, pro-Communist"
China,神州,colloquial
Colombia,Colombia,"common, English"
Colombia,Confederación Granadina,"former official, Spanish"
Colombia,Estados Unidos de Colombia,"former official, Spanish"
Colombia,Republic of Colombia,"official, English"
Colombia,República de Colombia,"official, Spanish"
Colombia,República de la Nueva Granada,"former official, Spanish"
Comoros,al-Ittiḥād al-Qumurī,"official, Arabic"
Comoros,Comoros,"common, English"
Comoros,Udzima wa Komori,"official, Swahili"
Comoros,Union des Comores,"official, French"
Comoros,Union of the Comoros,"official, English"
Comoros,United Republic of the Commoros,"official, English"
"Congo, Dem. Rep.",Belgian Congo,"former name during Belgian colonization, 1908 to 1960, English"
"Congo, Dem. Rep.",Congo belge,"former name, French"
"Congo, Dem. Rep.",Congo Free State,"former name, 1885 to 1908"
"Congo, Dem. Rep.",Congo Kinshasa,"used in contrast to ""Congo Brazzaville"""
